No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
1,2013,3,1,0,3,6,13,7,300,85,-2.3,1020.8,-19.7,0,E,0.5,Changping
2,2013,3,1,1,3,3,6,6,300,85,-2.5,1021.3,-19,0,ENE,0.7,Changping
3,2013,3,1,2,3,3,22,13,400,74,-3,1021.3,-19.9,0,ENE,0.2,Changping
4,2013,3,1,3,3,6,12,8,300,81,-3.6,1021.8,-19.1,0,NNE,1,Changping
5,2013,3,1,4,3,3,14,8,300,81,-3.5,1022.3,-19.4,0,N,2.1,Changping
6,2013,3,1,5,3,3,10,17,400,71,-4.5,1022.6,-19.5,0,NNW,1.7,Changping
7,2013,3,1,6,4,6,12,22,500,65,-4.5,1023.4,-19.5,0,NNW,1.8,Changping
8,2013,3,1,7,3,6,25,39,600,48,-2.1,1024.6,-20,0,NW,2.5,Changping
9,2013,3,1,8,9,25,13,42,700,46,-0.2,1025.2,-20.5,0,NNW,2.8,Changping
10,2013,3,1,9,11,29,5,18,500,73,0.6,1025.3,-20.4,0,NNW,3.8,Changping
11,2013,3,1,10,9,10,3,10,300,83,2,1025.1,-21.3,0,N,2.2,Changping
12,2013,3,1,11,3,3,4,9,300,81,3.6,1024.8,-20.7,0,NNE,2.7,Changping
13,2013,3,1,12,3,6,4,8,300,90,4.8,1023.8,-19.7,0,N,3,Changping
14,2013,3,1,13,3,101,5,9,300,89,5.8,1022.8,-20.6,0,NE,4.4,Changping
15,2013,3,1,14,9,60,5,6,300,94,5.9,1022.6,-20.5,0,N,3.6,Changping
16,2013,3,1,15,3,34,6,7,300,94,6,1022.6,-20.4,0,N,3.2,Changping
17,2013,3,1,16,3,28,5,9,300,92,5.4,1022.8,-20,0,NE,2.2,Changping
18,2013,3,1,17,6,25,19,12,300,88,3.5,1023.4,-20.8,0,ENE,2,Changping
19,2013,3,1,18,4,17,40,22,600,77,2.7,1024.2,-20,0,NE,3.6,Changping
20,2013,3,1,19,7,19,37,22,600,75,2,1025.1,-19.3,0,ENE,1.7,Changping
21,2013,3,1,20,8,21,23,14,300,80,1.1,1025.9,-18.3,0,NE,1.7,Changping
22,2013,3,1,21,7,16,34,19,300,74,1.6,1026.7,-17.4,0,E,2.3,Changping
23,2013,3,1,22,5,13,25,16,300,76,0.4,1027.2,-17.4,0,E,0,Changping
24,2013,3,1,23,7,12,43,25,500,65,0.3,1027,-16.6,0,NE,1.5,Changping
25,2013,3,2,0,11,13,23,16,400,69,-0.5,1027.4,-16.4,0,SW,3,Changping
26,2013,3,2,1,12,10,24,18,400,67,-1.8,1027.9,-16.7,0,SSW,0.9,Changping
27,2013,3,2,2,13,9,NA,56,800,33,-1.7,1027.7,-17.4,0,SSW,1.5,Changping
28,2013,3,2,3,14,24,23,42,NA,NA,-2.5,1027.7,-17.4,0,SW,1.7,Changping
29,2013,3,2,4,14,18,24,NA,400,45,-3.4,1027.5,-17,0,NW,0.8,Changping
30,2013,3,2,5,13,13,37,57,600,28,-3.5,1026.9,-16.8,0,N,0.5,Changping
31,2013,3,2,6,16,15,38,66,900,16,-3.5,1026.1,-15.8,0,NNE,0.9,Changping
32,2013,3,2,7,19,25,39,63,900,18,-3.3,1026.7,-14.4,0,NNW,0.9,Changping
33,2013,3,2,8,22,26,41,66,1100,14,-2,1026.4,-15.1,0,NNE,1,Changping
34,2013,3,2,9,29,43,53,69,1600,13,-0.2,1026.3,-16.6,0,WSW,0.5,Changping
35,2013,3,2,10,46,70,40,54,900,29,0.6,1025.8,-17.2,0,SW,1.3,Changping
36,2013,3,2,11,30,33,40,61,800,28,1.3,1025.4,-17.1,0,ESE,1.1,Changping
37,2013,3,2,12,31,41,42,51,700,38,1.9,1024.2,-17.1,0,WSW,1.6,Changping
38,2013,3,2,13,30,34,42,50,700,42,2.3,1022.6,-17.3,0,SE,0.2,Changping
39,2013,3,2,14,30,32,50,59,900,36,3,1021.9,-17.3,0,S,0,Changping
40,2013,3,2,15,38,41,49,58,900,38,2.9,1020.9,-16.8,0,WSW,1.2,Changping
41,2013,3,2,16,42,49,49,62,900,35,2.5,1020.6,-17.1,0,WNW,0.5,Changping
42,2013,3,2,17,44,50,50,66,900,31,2.1,1020.2,-16.4,0,E,0.7,Changping
